OID,n,lat,lon,z
210,419,53.58101962,103.4536252,400.488
211,420,53.58103744,103.4535617,400.404
212,420/1,53.58084421,103.4535617,402.883
213,421,53.58106269,103.4534946,400.044
214,421/1,53.58087446,103.4534694,400.044
215,422,53.58107424,103.4533852,401.587
216,423,53.58109607,103.4531374,404.691
217,423/1,53.58087444,103.4530618,404.691
218,424,53.58111535,103.4528463,405.007
219,425,53.58114834,103.4525851,403.785
220,426,53.5811324,103.4525481,403.772
221,427,53.58114597,103.4525384,403.609
222,428,53.58113944,103.4525274,403.672
223,429,53.58114847,103.4524929,403.611
224,430,53.58117579,103.4524923,403.369
225,431,53.58114471,103.4525279,402.495
226,432,53.58117077,103.4525216,401.586
227,433,53.58116325,103.4525578,401.539
228,434,53.58114226,103.4525499,403.257
229,435,53.58119399,103.4522159,404.401
230,436,53.58121754,103.4519808,404.624
231,437,53.58121593,103.4518848,404.788
232,438,53.58119238,103.4518895,405.044
233,439,53.58118334,103.4518631,405.025
234,440,53.58114173,103.4518226,405.212
235,441,53.58114561,103.4517936,405.211
236,442,53.58117464,103.451782,405.088
237,443,53.58119315,103.4517966,405.035
238,444,53.58122831,103.4517659,404.895
239,445,53.58122375,103.451848,402.688
240,446,53.58119832,103.4518321,403.582
241,447,53.58116927,103.4518218,403.826
242,448,53.58114402,103.4518076,404.628
243,449,53.58125943,103.4515155,404.758
244,450,53.58126811,103.4511629,404.927
245,451,53.581254,103.4511471,405.129
246,452,53.58124775,103.4511051,405.187
247,453,53.58123686,103.451088,405.233
248,454,53.5812353,103.4510613,405.243
249,455,53.58126444,103.4510377,405.06
250,456,53.581281,103.4509769,405.001
251,457,53.58124407,103.451065,404.456
252,458,53.58127665,103.4510905,403.653
253,459,53.58130023,103.4507608,405.217
254,460,53.58132957,103.4504614,404.048
255,461,53.58132937,103.4504056,403.511
256,462,53.58126714,103.4503981,404.296
257,463,53.58121835,103.4503775,404.25
258,464,53.58118841,103.4504025,404.389
259,465,53.58118853,103.4504012,404.396
260,466,53.58118174,103.4503534,404.381
261,467,53.58115271,103.4503471,404.536
262,468,53.58111684,103.4503323,404.828
263,469,53.58109575,103.4503018,404.607
264,470,53.58112087,103.4502734,404.67
265,471,53.58114825,103.4502465,404.562
266,472,53.58118818,103.4502547,404.354
267,473,53.58122628,103.4502704,404.307
268,474,53.5812799,103.4502791,403.975
269,475,53.58133679,103.4502774,403.548
270,476,53.58132903,103.4502383,403.812
271,477,53.58135873,103.4502418,403.446
272,478,53.58133804,103.4502523,403.278
273,479,53.58135637,103.4502752,402.268
274,480,53.58135397,103.4503551,400.365
275,481,53.58128175,103.4503391,400.835
276,482,53.58122511,103.4503337,401.325
277,483,53.5811847,103.4503099,401.811
278,484,53.58113816,103.4502991,402.327
279,485,53.58111911,103.4502999,402.977
280,486,53.58110032,103.4503002,403.059
281,487,53.58138617,103.4500138,404.693
282,488,53.58143592,103.4495648,405.481
283,489,53.58144559,103.4493913,405.139
284,490,53.58143805,103.449371,405.316
285,491,53.58141043,103.449356,405.25
286,492,53.58142707,103.4493352,405.054
287,493,53.58137078,103.4493172,405.466
